elapsed_ms,thumb_0,thumb_1,thumb_2,thumb_3,thumb_4,thumb_5,thumb_6,thumb_7,thumb_8,thumb_9,thumb_10,thumb_11,thumb_12,thumb_13,thumb_14,thumb_15,thumb_sum,total_sum,is_effective_update,effective_change_count,changed_regions,delta_total_sum,status
86.114,21,7,0,5,0,0,10,0,6,1,0,0,0,0,0,0,50,50,0,0,,,ok
137.586,22,7,0,5,0,0,12,0,11,1,0,0,0,0,0,0,58,58,0,0,,,invalid
176.514,21,8,0,5,0,0,14,0,15,1,0,0,0,0,0,0,64,64,1,1,thumb,14,ok
229.88,23,8,0,5,0,0,11,0,9,1,0,0,0,0,0,0,57,57,0,0,,,invalid
267.935,23,8,0,5,0,0,12,0,10,1,0,0,0,0,0,0,59,59,1,1,thumb,-5,ok
320.52,24,8,0,4,0,0,13,0,12,1,0,0,0,0,0,0,62,62,0,0,,,invalid
356.949,23,7,0,4,0,0,12,0,11,1,0,0,0,0,0,0,58,58,1,1,thumb,-1,ok
408.12,23,7,0,3,0,0,13,0,15,1,0,0,0,0,0,0,62,62,0,0,,,invalid
447.568,22,7,0,5,0,0,15,0,19,1,0,0,0,0,0,0,69,69,1,1,thumb,11,ok
499.325,23,7,0,4,0,0,15,0,19,2,0,0,0,0,0,0,70,70,0,0,,,invalid
536.116,22,8,0,5,0,0,16,0,24,3,0,0,0,0,0,0,78,78,1,1,thumb,9,ok
587.251,22,7,0,6,0,0,16,0,26,3,0,0,0,0,0,0,80,80,0,0,,,invalid
626.135,20,8,0,6,0,0,16,0,24,3,0,0,0,0,0,0,77,77,1,1,thumb,-1,ok
677.422,21,7,0,6,0,0,17,0,25,4,0,0,0,0,0,0,80,80,0,0,,,invalid
716.123,21,7,0,6,0,0,17,0,26,4,0,0,0,0,0,0,81,81,1,1,thumb,4,ok
769.231,21,7,0,6,0,0,17,0,24,3,0,0,0,0,0,0,78,78,0,0,,,invalid
807.179,22,8,0,6,0,0,16,0,20,2,0,0,0,0,0,0,74,74,1,1,thumb,-7,ok
858.443,24,8,0,6,0,0,16,0,19,2,0,0,0,0,0,0,75,75,0,0,,,invalid
896.216,24,8,0,6,0,0,15,0,19,2,0,0,0,0,0,0,74,74,0,0,,0,ok
948.707,24,7,0,7,0,0,16,0,17,2,0,0,0,0,0,0,73,73,0,0,,,invalid
986.228,24,7,0,6,0,0,16,0,18,2,0,0,0,0,0,0,73,73,1,1,thumb,-1,ok
1041.699,24,7,0,7,0,0,16,0,16,2,0,0,0,0,0,0,72,72,0,0,,,invalid
