action, elapsed_ms           , pos_0, pos_1, pos_2, pos_3, pos_4, pos_5, pos_6, pos_7, pos_8, pos_9
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
reply ,    0.86428700160468  ,  4087,   245,  3963,  1917,  4094,  4091,  2035,  4093,   111,  4090
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
reply ,    1.8201109996880405,  4087,   245,  3963,  1917,  4094,  4091,  2035,  4093,   111,  4090
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
reply ,    2.6315130016882904,  4087,   245,  3963,  1917,  4094,  4091,  2035,  4093,   111,  4090
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
reply ,    4.953345000103582 ,  4087,   245,  3963,  1917,  4094,  4091,  2035,  4093,   111,  4090
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
reply ,    5.859386001247913 ,  4087,   245,  3963,  1917,  4094,  4091,  2035,  4093,   111,  4090
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
reply ,    6.5601450005488005,  4087,   245,  3963,  1917,  4094,  4091,  2035,  4093,   111,  4090
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
reply ,    7.669062000786653 ,  4087,   245,  3963,  1917,  4094,  4091,  2035,  4093,   111,  4090
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
reply ,    8.708552999451058 ,  4087,   245,  3963,  1917,  4094,  4091,  2035,  4093,   111,  4090
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
reply ,    9.394586999405874 ,  4087,   245,  3963,  1917,  4094,  4091,  2035,  4093,   111,  4090
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
reply ,   11.651557000732282 ,  4087,   245,  3963,  1917,  4094,  4091,  2035,  4093,   111,  4090
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
reply ,   12.657385002967203 ,  4087,   245,  3963,  1917,  4094,  4091,  2035,  4093,   111,  4090
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
reply ,   13.313120001839707 ,  4087,   245,  3963,  1917,  4094,  4091,  2035,  4093,   111,  4090
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
reply ,   14.50098300119862  ,  4087,   245,  3963,  1917,  4094,  4091,  2035,  4093,   111,  4090
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
reply ,   17.125942002166994 ,  4087,   245,  3963,  1917,  4094,  4091,  2035,  4093,   111,  4090
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
reply ,   17.796600001020124 ,  4087,   245,  3963,  1917,  4094,  4091,  2035,  4093,   111,  4090
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
reply ,   18.56990500164102  ,  4087,   245,  3963,  1917,  4094,  4091,  2035,  4093,   111,  4090
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
reply ,   20.65965099973255  ,  4087,   245,  3963,  1917,  4094,  4091,  2035,  4093,   111,  4090
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
reply ,   21.40160700218985  ,  4087,   245,  3963,  1917,  4094,  4091,  2035,  4093,   111,  4090
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
reply ,   22.32624600219424  ,  4087,   245,  3963,  1917,  4094,  4091,  2035,  4093,   111,  4090
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
reply ,   23.140388002502732 ,  4087,   245,  3963,  1917,  4094,  4091,  2035,  4093,   111,  4090
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
reply ,   24.32107200002065  ,  4087,   245,  3963,  1917,  4094,  4091,  2035,  4093,   111,  4090
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
reply ,   25.131407001026673 ,  4087,   245,  3963,  1917,  4094,  4091,  2035,  4093,   111,  4090
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
reply ,   26.343164001445984 ,  4087,   245,  3963,  1917,  4094,  4091,  2035,  4093,   111,  4090
set   ,                      ,  4087,  4085,  1634,  2040,     3,     3,  2035,     2,     9,     3
